,word,start_ts,end_ts
0,i,0.039773125,0.278413125
1,need,0.278413125,0.556825625
2,to,0.556825625,0.7954656250000001
3,get,0.7954656250000001,0.95455875
4,downtherehow,0.95455875,1.4318375
5,do,1.4318375,1.590930625
6,i,1.590930625,1.75002375
7,get,1.75002375,1.909116875
8,downthere,1.909116875,2.2273031249999997
9,do,2.2273031249999997,2.4261693749999997
10,i,2.4261693749999997,2.6250356249999998
11,just,2.6250356249999998,2.8239025
12,do,2.8239025,3.062541875
13,this,3.062541875,3.340955
14,yeah,3.340955,3.53982125
15,professional,4.255739999999999,4.9716587500000005
16,some,5.369391875,5.60803125
17,people,5.60803125,5.846670625000001
18,call,5.846670625000001,6.085310625
19,me,6.085310625,6.284176875
20,like,6.284176875,6.44327
21,the,6.44327,6.602363125
22,best,6.602363125,6.8410025
23,minecrt,6.8410025,7.358055
24,out,7.477375,7.636468125
25,thereforefor,7.636468125,8.073974375
26,reason,8.153520625,8.39216
27,yeaha,9.505811875,9.823998125
28,exact,10.619463125,11.017196250000001
